Week,Day,Item on Discount,Price Discount
1,Monday,soda,10%
1,Tuesday,beer,15%
1,Wednesday,Milk,0%
1,Thursday,soda,20%
1,Friday,beer,10%
1,Saturday,milk,15%
1,Sunday,soda,0%
2,Monday,beer,20%
2,Tuesday,milk,10%
2,Wednesday,soda,15%
2,Thursday,beer,0%
2,Friday,milk,20%
2,Saturday,soda,10%
2,Sunday,beer,15%
3,Monday,milk,0%
3,Tuesday,soda,20%
3,Wednesday,beer,10%
3,Thursday,milk,15%
3,Friday,soda,0%
3,Saturday,beer,20%
3,Sunday,milk,10%
4,Monday,soda,15%
4,Tuesday,beer,0%
4,Wednesday,milk,20%
4,Thursday,soda,10%
4,Friday,beer,15%
4,Saturday,milk,0%
4,Sunday,soda,20%
